k,metric,median,ci_lower,ci_upper,n_books
5,corr_speed_s,0.3818606153978262,0.34259033238462017,0.40619679061415614,20
5,corr_speed_a,0.23576143617485396,0.2234653614591926,0.2679414506510204,20
7,corr_speed_s,0.3214294203836332,0.2816263834889046,0.3506216151154654,20
7,corr_speed_a,0.25967070012505866,0.2268564974663609,0.28307105837559376,20
11,corr_speed_s,0.2543544949394034,0.21183847759355057,0.28735922526043434,20
11,corr_speed_a,0.2669601139934206,0.2377674906062171,0.294837867560621,20
