genre_primary,pc,genre_mean,genre_book_count,corpus_mean,corpus_std,delta_vs_corpus_mean,effect_size_vs_corpus
Adventure,PC1,0.06697341929090476,5,-0.07862201243268903,0.1456930602448551,0.1455954317235938,0.9993299027345762
Adventure,PC2,-0.12204027833163944,5,-0.03207810853880556,0.16628939265421935,-0.08996216979283389,-0.5409976448702318
Adventure,PC3,0.09264517534064437,5,0.0021732413877196205,0.11095265491003545,0.09047193395292474,0.8154102668952155
Adventure,PC4,0.05371471180116769,5,-0.01548116376332154,0.10605466549025191,0.06919587556448924,0.652454800028099
Adventure,PC5,0.009573028686572406,5,0.003338608370079972,0.10717406955070724,0.006234420316492434,0.05817097682889371
Children's Fiction,PC1,-0.2676092615779142,1,-0.07862201243268903,0.1456930602448551,-0.1889872491452252,-1.2971602684960346
Children's Fiction,PC2,0.0217365960804572,1,-0.03207810853880556,0.16628939265421935,0.05381470461926276,0.323620789999303
Children's Fiction,PC3,-0.054770553223673045,1,0.0021732413877196205,0.11095265491003545,-0.056943794611392665,-0.513226066177189
Children's Fiction,PC4,-0.06025931254862258,1,-0.01548116376332154,0.10605466549025191,-0.044778148785301036,-0.42221762313150524
Children's Fiction,PC5,0.08726399813472115,1,0.003338608370079972,0.10717406955070724,0.08392538976464117,0.7830755155278822
Fantasy,PC1,-0.24470494651413763,3,-0.07862201243268903,0.1456930602448551,-0.16608293408144859,-1.1399508926665813
Fantasy,PC2,-0.09478814431428188,3,-0.03207810853880556,0.16628939265421935,-0.06271003577547632,-0.3771138662216116
Fantasy,PC3,-0.03303290857066201,3,0.0021732413877196205,0.11095265491003545,-0.03520614995838163,-0.3173078642140478
Fantasy,PC4,-0.12781637093668682,3,-0.01548116376332154,0.10605466549025191,-0.11233520717336529,-1.0592198528379748
Fantasy,PC5,0.15733040567521675,3,0.003338608370079972,0.10717406955070724,0.1539917973051368,1.436838201168415
Gothic,PC1,-0.08030780706584871,3,-0.07862201243268903,0.1456930602448551,-0.0016857946331596818,-0.011570864324810644
Gothic,PC2,0.09695917357401497,3,-0.03207810853880556,0.16628939265421935,0.12903728211282053,0.775980235739627
Gothic,PC3,-0.08586019849075177,3,0.0021732413877196205,0.11095265491003545,-0.0880334398784714,-0.7934324775720977
Gothic,PC4,-0.010792620573975167,3,-0.01548116376332154,0.10605466549025191,0.0046885431893463735,0.04420874053652382
Gothic,PC5,0.009845415614388646,3,0.003338608370079972,0.10717406955070724,0.006506807244308674,0.0607125144317685
Horror,PC1,-0.07555958745636443,2,-0.07862201243268903,0.1456930602448551,0.0030624249763245986,0.02101970382925458
Horror,PC2,-0.03262958295815701,2,-0.03207810853880556,0.16628939265421935,-0.0005514744193514526,-0.0033163535601948074
Horror,PC3,-0.019219010402400667,2,0.0021732413877196205,0.11095265491003545,-0.021392251790120286,-0.19280522676510917
Horror,PC4,-0.024851538410331168,2,-0.01548116376332154,0.10605466549025191,-0.009370374647009627,-0.08835419548676915
Horror,PC5,-0.18464622844451217,2,0.003338608370079972,0.10717406955070724,-0.18798483681459213,-1.7540141715496855
Mystery,PC1,-0.1030479595903664,1,-0.07862201243268903,0.1456930602448551,-0.024425947157677375,-0.1676534703617768
Mystery,PC2,0.022325770665402613,1,-0.03207810853880556,0.16628939265421935,0.054403879204208166,0.327163857753303
Mystery,PC3,0.14800648582551515,1,0.0021732413877196205,0.11095265491003545,0.14583324443779552,1.3143736358182916
Mystery,PC4,-0.16906887899470513,1,-0.01548116376332154,0.10605466549025191,-0.1535877152313836,-1.4481938585295024
Mystery,PC5,-0.18747401918673537,1,0.003338608370079972,0.10717406955070724,-0.19081262755681533,-1.7803991987682823
Romance,PC1,-0.1432703674299373,1,-0.07862201243268903,0.1456930602448551,-0.06464835499724826,-0.4437298172514103
Romance,PC2,0.3440179250806383,1,-0.03207810853880556,0.16628939265421935,0.3760960336194438,2.2616958761855273
Romance,PC3,0.15124921989151272,1,0.0021732413877196205,0.11095265491003545,0.1490759785037931,1.3435999221890584
Romance,PC4,0.06357704111193337,1,-0.01548116376332154,0.10605466549025191,0.0790582048752549,0.7454476850197749
Romance,PC5,0.056568279016013225,1,0.003338608370079972,0.10717406955070724,0.05322967064593325,0.4966655728300838
Sci-Fi,PC1,-0.10927202767750459,3,-0.07862201243268903,0.1456930602448551,-0.03065001524481556,-0.21037388598540274
Sci-Fi,PC2,-0.19427378516458957,3,-0.03207810853880556,0.16628939265421935,-0.16219567662578402,-0.9753819773883727
Sci-Fi,PC3,-0.055306402884060364,3,0.0021732413877196205,0.11095265491003545,-0.057479644271779984,-0.5180556005476987
Sci-Fi,PC4,-0.011219013607136313,3,-0.01548116376332154,0.10605466549025191,0.004262150156185227,0.04018823817399137
Sci-Fi,PC5,-0.03045547102489235,3,0.003338608370079972,0.10717406955070724,-0.03379407939497232,-0.3153195501173289
Tragedy,PC1,0.06059376217511504,1,-0.07862201243268903,0.1456930602448551,0.13921577460780407,0.9555415637082154
Tragedy,PC2,0.22212636268647143,1,-0.03207810853880556,0.16628939265421935,0.254204471225277,1.5286872311444872
Tragedy,PC3,-0.10320965080096046,1,0.0021732413877196205,0.11095265491003545,-0.10538289218868009,-0.949800545774488
Tragedy,PC4,0.08674140833318233,1,-0.01548116376332154,0.10605466549025191,0.10222257209650387,0.9638668098566557
Tragedy,PC5,0.02168017209962357,1,0.003338608370079972,0.10717406955070724,0.018341563729543597,0.17113807291665506
