pc,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.07191023230552673,0.07191023230552673
PC2,0.06498432159423828,0.13689455389976501
PC3,0.03850848600268364,0.17540303990244865
PC4,0.031162412837147713,0.20656545273959637
PC5,0.03004482388496399,0.23661027662456036
