split,n_samples,n_novels,mse,rmse,mae,r2
train,17631,16,1.447614375886587,1.20316847360899,1.0638620173147655,0.17338769751539684
test,3706,4,1.424221782060431,1.1934076344905922,1.0409859929384058,0.13642710477938047
