book_id,split,T,y_true_mean,y_true_std,y_pred_mean,y_pred_std,pred_min,pred_max,res_mean,res_std,res_p05,res_p95,corr_true_pred,title
16,test,471,1.8598726114649682,1.2455880460148665,1.8690826197751969,0.43232411372947405,0.6386427973438625,3.017635752662686,0.009210008310228725,1.1908606334288707,-1.5502702121878031,2.023371682019095,0.2973500563252136,Peter Pan
113,test,805,1.7316770186335404,1.2451357460605728,1.7720478489345548,0.5441411042877269,0.35075647765134965,3.8819153174101153,0.04037083030101453,1.135317441899502,-1.6014351493431995,1.9355367171825937,0.41142624846724624,The Secret Garden
768,test,1158,1.6381692573402418,1.3093898033117917,1.8316519169011143,0.47991558003289786,0.10614207982054458,3.163957009409448,0.19348265956087224,1.2188789350890012,-1.5322716287152418,2.046656992576035,0.36533837605393826,Wuthering Heights
1342,test,1272,1.195754716981132,1.2248273769630778,1.2893730253182334,0.4315786559856025,0.18496332366683332,2.57571538513169,0.09361830833710127,1.1883755428476956,-1.8454404589657682,1.697289819083351,0.259384181513819,Pride and Prejudice
11,train,264,1.606060606060606,1.1982156921071239,1.545786552184511,0.4379577238750984,0.3522654320142249,3.166956734789014,-0.060274053876094844,1.1645067805092453,-1.7277689938944474,1.730134967483299,0.25863988029619944,Alice's Adventures in Wonderland
35,train,323,1.4891640866873066,1.2549740962918259,1.448544270682261,0.5350052359715368,-0.3389460547210579,2.8020163133334175,-0.04061981600504546,1.141307002896949,-1.7694182505613316,1.6686075096608388,0.4159920862962162,The Time Machine
36,train,599,1.5592654424040067,1.3085350209909155,1.571920149104916,0.460486362973575,0.3319134725047854,2.9211159606819677,0.012654706700909157,1.2091641076249735,-1.8208912603831184,1.812052254063263,0.3835566662690687,The War of the Worlds
43,train,255,1.2862745098039217,1.3107428828860848,1.3299222315211194,0.46025788846284,0.14206184068964633,2.7537259841562878,0.043647721717197975,1.2401940348821119,-1.9332830120425106,1.7296906818370714,0.32472744505003154,The Strange Case of Dr. Jekyll and Mr. Hyde
55,train,395,1.7721518987341771,1.1708416002500688,1.7149726001924452,0.37020845337721725,0.33927839631741685,2.8080758341400065,-0.057179298541731996,1.1149101119528715,-1.538023575411105,1.8462526520205949,0.30556749167361935,The Wonderful Wizard of Oz
84,train,749,1.485981308411215,1.3480455137942382,1.4952567385807882,0.5656166476739718,-0.06638996156878196,3.4520306903806945,0.009275430169573412,1.2408458219680802,-1.9537007539163083,1.854959435029022,0.3917826752123037,"Frankenstein; Or, The Modern Prometheus"
103,train,632,1.2436708860759493,1.2965842928220617,1.2433785475657075,0.4052106293514811,0.18749952400212067,2.526028116732236,-0.0002923385102417542,1.1777059327304304,-1.7822340372654124,1.5307530610083977,0.436185926373249,Around the World in Eighty Days
120,train,685,1.8116788321167883,1.2490618782443519,1.7452029144179217,0.4429673214583441,0.13989284280395653,3.1981544467355127,-0.06647591769886668,1.1795048209743935,-1.618189915804188,1.9291781340481142,0.32997309607745573,Treasure Island
175,train,854,1.8723653395784543,1.3257880966805466,1.7214844337386916,0.5843309008888229,-0.03152493745711449,3.5063358304396655,-0.15088090583976313,1.1736707535911146,-1.7509358897873946,1.8295944874862753,0.46576391931163835,The Phantom of the Opera
345,train,1612,1.7003722084367245,1.3019073087655693,1.6580419618793785,0.5198657685154657,0.005032016252444871,3.183911779035588,-0.04233024655734627,1.1730239413528343,-1.6623856303972062,1.8588302360395652,0.4353007186136394,Dracula
521,train,1208,1.0,1.2421941706576691,1.095270193372723,0.4756090177827715,-0.1988281703186512,2.872895565221378,0.09527019337272292,1.157881088156276,-1.993641596615758,1.5784399895980306,0.3626968418061364,Robinson Crusoe
1184,train,4608,1.3648003472222223,1.322036339011355,1.3801600042884337,0.44158145533201293,-0.0005351944658356089,2.94843420596212,0.015359657066211542,1.240309104815993,-1.87805650867324,1.7272974732723898,0.34636586161076244,The Count of Monte Cristo
1257,train,2293,1.525948539031836,1.3299374285501284,1.4931754606145382,0.4374650601091844,0.007336269174928134,3.20648431716113,-0.03277307841729775,1.2205991100793596,-1.7915436049047422,1.7551756873442823,0.4041303883567373,The Three Musketeers
1260,train,1852,1.4011879049676026,1.3084947138202778,1.4857846962721852,0.5269851822773989,0.01622822626660092,3.2910347063797607,0.08459679130458239,1.1766739981851726,-1.7740209442772379,1.8111656280566668,0.43891209493863653,Jane Eyre
1513,train,258,2.5852713178294575,1.104297509008392,2.50511763064932,0.4101202252639055,1.1594521674943565,3.453253196890386,-0.0801536871801377,1.0570431562256153,-1.258612349854542,2.3944263611544443,0.2984483232983622,Romeo and Juliet
1661,train,1044,1.3371647509578544,1.2892563746893189,1.335598324799977,0.45281670101804233,-0.20393788711352312,2.922182404115058,-0.001566426157877265,1.2273162655220415,-1.9676552161993772,1.6515325560476077,0.3091141793141108,The Adventures of Sherlock Holmes
