book_id,title,processed_dir,k,T,mean_s,std_s,max_s,mean_a,std_a,max_a,num_peaks,peak_pos_1,peak_pos_2,peak_pos_3
11,Alice's Adventures in Wonderland,alice_s_adventures_wonderland,5,264,0.19367676973342896,0.05450941622257233,0.479806125164032,0.04288649186491966,0.039751093834638596,0.3362525999546051,3,0.0038022813688212928,0.18250950570342206,0.35361216730038025
11,Alice's Adventures in Wonderland,alice_s_adventures_wonderland,7,264,0.2022024244070053,0.0557660311460495,0.5027565956115723,0.04203614220023155,0.03964816778898239,0.3610789179801941,3,0.0038022813688212928,0.20532319391634982,0.35361216730038025
11,Alice's Adventures in Wonderland,alice_s_adventures_wonderland,11,264,0.21263515949249268,0.057045985013246536,0.5079433917999268,0.04305452108383179,0.038874588906764984,0.350696861743927,3,0.0038022813688212928,0.18250950570342206,0.35361216730038025
16,Peter Pan,peter_pan,5,471,0.1933378279209137,0.05933518335223198,0.4400179982185364,0.04859679192304611,0.04130524396896362,0.24659965932369232,3,0.002127659574468085,0.031914893617021274,0.39361702127659576
16,Peter Pan,peter_pan,7,471,0.20176245272159576,0.0625852718949318,0.4567207098007202,0.04726342856884003,0.040512315928936005,0.2331250160932541,3,0.002127659574468085,0.031914893617021274,0.39361702127659576
16,Peter Pan,peter_pan,11,471,0.21230487525463104,0.06726272404193878,0.47840869426727295,0.04575160890817642,0.040873777121305466,0.26353970170021057,3,0.002127659574468085,0.031914893617021274,0.39361702127659576
35,The Time Machine,time_machine,5,323,0.20963747799396515,0.07119065523147583,0.5799075961112976,0.053235530853271484,0.050402261316776276,0.4144580364227295,3,0.003105590062111801,0.35093167701863354,0.6366459627329193
35,The Time Machine,time_machine,7,323,0.22165171802043915,0.07768183946609497,0.6456878781318665,0.05496708303689957,0.05334286019206047,0.4144580364227295,3,0.003105590062111801,0.35093167701863354,0.6335403726708074
35,The Time Machine,time_machine,11,323,0.2335004359483719,0.0848204493522644,0.7071347236633301,0.05672082304954529,0.05569053813815117,0.4144580364227295,3,0.003105590062111801,0.35093167701863354,0.6335403726708074
36,The War of the Worlds,war_worlds,5,599,0.19302543997764587,0.06550852209329605,0.5183665752410889,0.05248468741774559,0.04567057266831398,0.2557787299156189,3,0.205685618729097,0.6204013377926422,0.7424749163879598
36,The War of the Worlds,war_worlds,7,599,0.20150010287761688,0.06788261234760284,0.5275671482086182,0.05115995556116104,0.044269461184740067,0.2773679494857788,3,0.46488294314381273,0.6204013377926422,0.7207357859531772
36,The War of the Worlds,war_worlds,11,599,0.20957548916339874,0.07136853039264679,0.5107609033584595,0.05095431208610535,0.045244429260492325,0.29557979106903076,3,0.46488294314381273,0.6204013377926422,0.7207357859531772
43,The Strange Case of Dr. Jekyll and Mr. Hyde,strange_case_dr_jekyll,5,255,0.1710600107908249,0.07037776708602905,0.4796370267868042,0.05242883414030075,0.05135414004325867,0.4343358874320984,3,0.003937007874015748,0.23622047244094488,0.7244094488188977
43,The Strange Case of Dr. Jekyll and Mr. Hyde,strange_case_dr_jekyll,7,255,0.1770167201757431,0.07133762538433075,0.4571702480316162,0.050148870795965195,0.05023160204291344,0.4343358874320984,3,0.003937007874015748,0.23622047244094488,0.7244094488188977
43,The Strange Case of Dr. Jekyll and Mr. Hyde,strange_case_dr_jekyll,11,255,0.18087343871593475,0.06963996589183807,0.4343358874320984,0.04943150654435158,0.04815448820590973,0.4343358874320984,3,0.003937007874015748,0.23622047244094488,0.7244094488188977
55,The Wonderful Wizard of Oz,wonderful_wizard_oz,5,395,0.16507767140865326,0.06102008372545242,0.4555484652519226,0.04435092583298683,0.039538852870464325,0.296197772026062,3,0.01015228426395939,0.3096446700507614,0.9187817258883249
55,The Wonderful Wizard of Oz,wonderful_wizard_oz,7,395,0.17538104951381683,0.06391175836324692,0.40649881958961487,0.04487287625670433,0.03873288258910179,0.296197772026062,3,0.01015228426395939,0.25888324873096447,0.9670050761421319
55,The Wonderful Wizard of Oz,wonderful_wizard_oz,11,395,0.18637613952159882,0.06624206155538559,0.3828360140323639,0.045028235763311386,0.0402643121778965,0.296197772026062,3,0.01015228426395939,0.18781725888324874,0.25888324873096447
84,"Frankenstein; Or, The Modern Prometheus",frankenstein_modern_prometheus,5,749,0.19278866052627563,0.06891792267560959,0.49116548895835876,0.050650469958782196,0.044555194675922394,0.49116548895835876,3,0.001336898395721925,0.19518716577540107,0.410427807486631
84,"Frankenstein; Or, The Modern Prometheus",frankenstein_modern_prometheus,7,749,0.20375527441501617,0.07280023396015167,0.49116548895835876,0.04934348538517952,0.04494363069534302,0.49116548895835876,3,0.001336898395721925,0.39705882352941174,0.410427807486631
84,"Frankenstein; Or, The Modern Prometheus",frankenstein_modern_prometheus,11,749,0.2180604189634323,0.07866257429122925,0.5439884066581726,0.0499979592859745,0.044499319046735764,0.49116548895835876,3,0.001336898395721925,0.24732620320855614,0.39705882352941174
103,Around the World in Eighty Days,around_world_eighty_days,5,632,0.17999593913555145,0.07073705643415451,0.4932537376880646,0.0501687191426754,0.043160948902368546,0.29546087980270386,3,0.6782884310618067,0.687797147385103,0.9223454833597464
103,Around the World in Eighty Days,around_world_eighty_days,7,632,0.19119016826152802,0.07573952525854111,0.5404754281044006,0.049388088285923004,0.04290178045630455,0.2590826153755188,3,0.07923930269413629,0.6782884310618067,0.6846275752773375
103,Around the World in Eighty Days,around_world_eighty_days,11,632,0.20273353159427643,0.08075832575559616,0.6273634433746338,0.04941145330667496,0.041925475001335144,0.234878271818161,3,0.6782884310618067,0.6846275752773375,0.803486529318542
113,The Secret Garden,secret_garden,5,805,0.18665960431098938,0.057619187980890274,0.467386394739151,0.046939246356487274,0.039838604629039764,0.467386394739151,3,0.0012437810945273632,0.4651741293532338,0.8843283582089553
113,The Secret Garden,secret_garden,7,805,0.19380007684230804,0.05861369147896767,0.467386394739151,0.04538599029183388,0.0392741858959198,0.467386394739151,3,0.0012437810945273632,0.4651741293532338,0.8843283582089553
113,The Secret Garden,secret_garden,11,805,0.20122376084327698,0.06048562005162239,0.467386394739151,0.04420887306332588,0.03946496546268463,0.467386394739151,3,0.0012437810945273632,0.20024875621890548,0.4651741293532338
120,Treasure Island,treasure_island,5,685,0.18264427781105042,0.05389786884188652,0.38512277603149414,0.044691845774650574,0.03821210190653801,0.3268156051635742,3,0.0014619883040935672,0.08625730994152046,0.6491228070175439
120,Treasure Island,treasure_island,7,685,0.18845872581005096,0.05433600768446922,0.37864020466804504,0.043089382350444794,0.03763948008418083,0.3268156051635742,3,0.0014619883040935672,0.08625730994152046,0.6491228070175439
120,Treasure Island,treasure_island,11,685,0.19480392336845398,0.05374429002404213,0.3983580768108368,0.04161722585558891,0.03718428313732147,0.3268156051635742,3,0.0014619883040935672,0.9546783625730995,0.9839181286549707
175,The Phantom of the Opera,phantom_opera,5,854,0.19982030987739563,0.06948014348745346,0.6286224722862244,0.053205251693725586,0.043521229177713394,0.3757439851760864,3,0.05744431418522861,0.06447831184056271,0.7772567409144197
175,The Phantom of the Opera,phantom_opera,7,854,0.20968133211135864,0.0734349936246872,0.6285236477851868,0.05110201612114906,0.04325434938073158,0.3633522093296051,3,0.06447831184056271,0.6776084407971864,0.776084407971864
175,The Phantom of the Opera,phantom_opera,11,854,0.22183489799499512,0.07981224358081818,0.5878295302391052,0.05051462724804878,0.04386678338050842,0.31133946776390076,3,0.06447831184056271,0.5873388042203986,0.776084407971864
345,Dracula,dracula,5,1612,0.21159067749977112,0.07652071863412857,0.5344842076301575,0.054449331015348434,0.046633441001176834,0.37331318855285645,3,0.07945375543140906,0.08379888268156424,0.46679081315952825
345,Dracula,dracula,7,1612,0.22164401412010193,0.07880359888076782,0.592445969581604,0.052900150418281555,0.045474037528038025,0.3831765651702881,3,0.0006207324643078833,0.07945375543140906,0.08379888268156424
345,Dracula,dracula,11,1612,0.23218685388565063,0.08121906965970993,0.5945106148719788,0.05103263631463051,0.04342348128557205,0.370684951543808,3,0.0006207324643078833,0.07945375543140906,0.2600869025450031
521,Robinson Crusoe,robinson_crusoe,5,1208,0.1954619586467743,0.07314015924930573,0.5366814136505127,0.05003316327929497,0.0427364744246006,0.38628673553466797,3,0.0008285004142502071,0.3131731565865783,0.36702568351284176
521,Robinson Crusoe,robinson_crusoe,7,1208,0.20709875226020813,0.07706935703754425,0.5743075609207153,0.04859129711985588,0.04177284240722656,0.38628673553466797,3,0.0008285004142502071,0.2634631317315659,0.3131731565865783
521,Robinson Crusoe,robinson_crusoe,11,1208,0.21849626302719116,0.08016257733106613,0.5231048464775085,0.04648081213235855,0.04079672321677208,0.38628673553466797,3,0.0008285004142502071,0.2634631317315659,0.3131731565865783
768,Wuthering Heights,wuthering_heights,5,1158,0.1624557226896286,0.061068400740623474,0.4232783913612366,0.04905712231993675,0.045621857047080994,0.33058080077171326,3,0.6283491789109766,0.8297320656871219,0.9809853068280034
768,Wuthering Heights,wuthering_heights,7,1158,0.16521908342838287,0.06289438903331757,0.43774184584617615,0.04772389680147171,0.0454711876809597,0.317145437002182,3,0.6283491789109766,0.8297320656871219,0.9809853068280034
768,Wuthering Heights,wuthering_heights,11,1158,0.16797395050525665,0.06440573185682297,0.4083721935749054,0.04842902719974518,0.04583466798067093,0.284040629863739,3,0.5410544511668107,0.6283491789109766,0.8297320656871219
1184,The Count of Monte Cristo,count_monte_cristo,5,4608,0.16876323521137238,0.06069011241197586,0.46868473291397095,0.044655755162239075,0.03815160319209099,0.32282859086990356,3,0.17060994139353158,0.5819405252876059,0.7360538311265465
1184,The Count of Monte Cristo,count_monte_cristo,7,4608,0.17630420625209808,0.06416615098714828,0.4930189847946167,0.04443015903234482,0.03906234726309776,0.30696865916252136,3,0.17060994139353158,0.5819405252876059,0.7360538311265465
1184,The Count of Monte Cristo,count_monte_cristo,11,4608,0.18567624688148499,0.06784803420305252,0.5200547575950623,0.04470810666680336,0.0393521711230278,0.3173055648803711,3,0.2385500325591491,0.5819405252876059,0.7360538311265465
1257,The Three Musketeers,three_musketeers,5,2293,0.1566801220178604,0.05376651883125305,0.46269088983535767,0.041254427284002304,0.03527696058154106,0.29561030864715576,3,0.0004363001745200698,0.26221640488656195,0.4336823734729494
1257,The Three Musketeers,three_musketeers,7,2293,0.16350477933883667,0.05597870051860809,0.5155112743377686,0.04053153097629547,0.03483200818300247,0.31991496682167053,3,0.0004363001745200698,0.26221640488656195,0.4336823734729494
1257,The Three Musketeers,three_musketeers,11,2293,0.17092546820640564,0.05859258770942688,0.5539249181747437,0.04015359282493591,0.034861546009778976,0.32690781354904175,3,0.0004363001745200698,0.26221640488656195,0.4336823734729494
1260,Jane Eyre,jane_eyre,5,1852,0.1893000602722168,0.061624400317668915,0.5265493392944336,0.04758147522807121,0.0418836884200573,0.34282153844833374,3,0.0005402485143165856,0.6726094003241491,0.6763911399243652
1260,Jane Eyre,jane_eyre,7,1852,0.19577309489250183,0.06279245764017105,0.5609524250030518,0.046945881098508835,0.041993148624897,0.34385859966278076,3,0.0005402485143165856,0.6726094003241491,0.6763911399243652
1260,Jane Eyre,jane_eyre,11,1852,0.20080319046974182,0.06456109136343002,0.6134343147277832,0.04641130939126015,0.04245609790086746,0.3843814730644226,3,0.0005402485143165856,0.6726094003241491,0.6763911399243652
1342,Pride and Prejudice,pride_prejudice,5,1272,0.13713443279266357,0.04793328046798706,0.4092768430709839,0.03763316199183464,0.033420681953430176,0.22828787565231323,3,0.04012588512981904,0.39260424862313137,0.6852871754523997
1342,Pride and Prejudice,pride_prejudice,7,1272,0.14150547981262207,0.049460746347904205,0.4263221025466919,0.03721632435917854,0.033340245485305786,0.22900263965129852,3,0.5019669551534225,0.6766325727773407,0.6860739575137687
1342,Pride and Prejudice,pride_prejudice,11,1272,0.14567095041275024,0.05130355432629585,0.45153743028640747,0.037091296166181564,0.03441430255770683,0.22716522216796875,3,0.04012588512981904,0.6860739575137687,0.9527930763178599
1513,Romeo and Juliet,romeo_juliet,5,258,0.16884244978427887,0.057968948036432266,0.42076605558395386,0.04662680625915527,0.039301563054323196,0.2360391765832901,3,0.16342412451361868,0.1867704280155642,0.33852140077821014
1513,Romeo and Juliet,romeo_juliet,7,258,0.17509599030017853,0.059960585087537766,0.41184931993484497,0.04402385279536247,0.038137707859277725,0.20837752521038055,3,0.1828793774319066,0.33852140077821014,0.8599221789883269
1513,Romeo and Juliet,romeo_juliet,11,258,0.18341310322284698,0.06185416504740715,0.39977264404296875,0.04382649436593056,0.03741959109902382,0.1816069781780243,3,0.1867704280155642,0.4591439688715953,0.8521400778210116
1661,The Adventures of Sherlock Holmes,adventures_sherlock_holmes,5,1044,0.2002120316028595,0.06604483723640442,0.5745331048965454,0.05018683522939682,0.04140707105398178,0.2874196171760559,3,0.3998082454458293,0.5177372962607862,0.8245445829338447
1661,The Adventures of Sherlock Holmes,adventures_sherlock_holmes,7,1044,0.20843654870986938,0.06843657791614532,0.6382230520248413,0.050109583884477615,0.04128393903374672,0.3288687765598297,3,0.27804410354745923,0.3998082454458293,0.5177372962607862
1661,The Adventures of Sherlock Holmes,adventures_sherlock_holmes,11,1044,0.21603648364543915,0.0715249627828598,0.6316272020339966,0.05004299804568291,0.0415121465921402,0.3035790026187897,3,0.3998082454458293,0.5177372962607862,0.9587727708533078
