book_id,processed_dir,variant_a,variant_b,mae,exact_match,corr,T
11,alice_s_adventures_wonderland,base,winsize_5,1.253787878787879,0.30303030303030304,0.1857367626848175,264
16,peter_pan,base,winsize_5,1.0,0.4309978768577495,0.33609110552769095,471
35,time_machine,base,winsize_5,1.2012383900928794,0.33746130030959753,0.25641493783574154,323
36,war_worlds,base,winsize_5,1.2470784641068446,0.3656093489148581,0.29042645272745793,599
43,strange_case_dr_jekyll,base,winsize_5,1.2745098039215685,0.34509803921568627,0.2694783310307085,255
55,wonderful_wizard_oz,base,winsize_5,1.0202531645569621,0.34177215189873417,0.21745907572573958,395
84,frankenstein_modern_prometheus,base,winsize_5,1.2817089452603472,0.35647530040053405,0.27783076624760433,749
103,around_world_eighty_days,base,winsize_5,1.1693037974683544,0.3291139240506329,0.32768932975511983,632
113,secret_garden,base,winsize_5,1.0608695652173914,0.3403726708074534,0.36454911227693954,805
120,treasure_island,base,winsize_5,1.051094890510949,0.4218978102189781,0.26306321974097313,685
175,phantom_opera,base,winsize_5,1.1065573770491803,0.39227166276346603,0.34490312284237185,854
345,dracula,base,winsize_5,1.2053349875930521,0.37220843672456577,0.28516977437236396,1612
521,robinson_crusoe,base,winsize_5,1.2193708609271523,0.36920529801324503,0.2970659403347453,1208
768,wuthering_heights,base,winsize_5,1.2132987910189983,0.34024179620034545,0.3112887325724387,1158
1184,count_monte_cristo,base,winsize_5,1.228515625,0.3658854166666667,0.3042076226442144,4608
1257,three_musketeers,base,winsize_5,1.188835586567815,0.36197121674662014,0.2875666705494002,2293
1260,jane_eyre,base,winsize_5,1.2273218142548596,0.33585313174946,0.29722999497959335,1852
1342,pride_prejudice,base,winsize_5,1.1407232704402517,0.3490566037735849,0.3015917155146644,1272
1513,romeo_juliet,base,winsize_5,0.7131782945736435,0.5387596899224806,0.3782912028669623,258
1661,adventures_sherlock_holmes,base,winsize_5,1.3055555555555556,0.303639846743295,0.251086894708201,1044
11,alice_s_adventures_wonderland,base,indep_winsize_5,0.9962121212121212,0.2689393939393939,0.2652145604247633,264
16,peter_pan,base,indep_winsize_5,0.9978768577494692,0.27176220806794055,0.3965657141864183,471
35,time_machine,base,indep_winsize_5,0.9907120743034056,0.2724458204334365,0.35199887337086644,323
36,war_worlds,base,indep_winsize_5,1.0,0.28046744574290483,0.38029380961586545,599
43,strange_case_dr_jekyll,base,indep_winsize_5,0.9254901960784314,0.3058823529411765,0.48341981724290267,255
55,wonderful_wizard_oz,base,indep_winsize_5,0.9012658227848102,0.3012658227848101,0.4330959072780681,395
84,frankenstein_modern_prometheus,base,indep_winsize_5,1.0133511348464619,0.2656875834445928,0.39747562281255494,749
103,around_world_eighty_days,base,indep_winsize_5,0.9699367088607594,0.27531645569620256,0.4074426925781135,632
113,secret_garden,base,indep_winsize_5,1.0024844720496895,0.2645962732919255,0.3652030672516007,805
120,treasure_island,base,indep_winsize_5,0.981021897810219,0.28905109489051095,0.32617149344601926,685
175,phantom_opera,base,indep_winsize_5,0.9894613583138173,0.2810304449648712,0.42678452902461755,854
345,dracula,base,indep_winsize_5,1.0620347394540943,0.24069478908188585,0.319644142265017,1612
521,robinson_crusoe,base,indep_winsize_5,1.0008278145695364,0.24751655629139072,0.34364631147383334,1208
768,wuthering_heights,base,indep_winsize_5,1.03713298791019,0.2504317789291883,0.3346688870450595,1158
1184,count_monte_cristo,base,indep_winsize_5,1.0677083333333333,0.22960069444444445,0.3117413555033479,4608
1257,three_musketeers,base,indep_winsize_5,1.0649803750545137,0.23288268643698212,0.3115990073485858,2293
1260,jane_eyre,base,indep_winsize_5,1.013498920086393,0.2570194384449244,0.3550938145068246,1852
1342,pride_prejudice,base,indep_winsize_5,1.0196540880503144,0.24135220125786164,0.24730552506204503,1272
1513,romeo_juliet,base,indep_winsize_5,1.127906976744186,0.2441860465116279,0.30218370067321976,258
1661,adventures_sherlock_holmes,base,indep_winsize_5,1.014367816091954,0.2768199233716475,0.3248602520265765,1044
11,alice_s_adventures_wonderland,winsize_5,indep_winsize_5,1.3181818181818181,0.1590909090909091,0.2255291445059987,264
16,peter_pan,winsize_5,indep_winsize_5,1.3014861995753715,0.19745222929936307,0.222582240411942,471
35,time_machine,winsize_5,indep_winsize_5,1.2755417956656347,0.16718266253869968,0.3153223237655965,323
36,war_worlds,winsize_5,indep_winsize_5,1.2654424040066778,0.20868113522537562,0.28213344468593343,599
43,strange_case_dr_jekyll,winsize_5,indep_winsize_5,1.1725490196078432,0.23529411764705882,0.2245733358736545,255
55,wonderful_wizard_oz,winsize_5,indep_winsize_5,1.1215189873417721,0.22278481012658227,0.22886864486862613,395
84,frankenstein_modern_prometheus,winsize_5,indep_winsize_5,1.3604806408544727,0.17222963951935916,0.216868794787208,749
103,around_world_eighty_days,winsize_5,indep_winsize_5,0.990506329113924,0.3037974683544304,0.3532416715655583,632
113,secret_garden,winsize_5,indep_winsize_5,1.2832298136645963,0.1937888198757764,0.22030010104494566,805
120,treasure_island,winsize_5,indep_winsize_5,1.12992700729927,0.24087591240875914,0.20035043474507006,685
175,phantom_opera,winsize_5,indep_winsize_5,1.243559718969555,0.202576112412178,0.33135378432454293,854
345,dracula,winsize_5,indep_winsize_5,1.349255583126551,0.163151364764268,0.27341948716777664,1612
521,robinson_crusoe,winsize_5,indep_winsize_5,1.130794701986755,0.23013245033112584,0.301281187335341,1208
768,wuthering_heights,winsize_5,indep_winsize_5,1.2711571675302245,0.17875647668393782,0.2554792638781398,1158
