book_id,split,T,y_true_mean,y_true_std,y_pred_mean,y_pred_std,pred_min,pred_max,res_mean,res_std,res_p05,res_p95,corr_true_pred,title
16,test,471,1.4777070063694266,0.8490233224433953,1.4776287313070804,0.29464404761972557,0.5877795405959629,2.4279284659625406,-7.827506234634962e-05,0.8162443434718858,-1.4979719931564397,1.2682681427570663,0.2826212746260405,Peter Pan
113,test,805,1.3254658385093168,0.7466096873403855,1.3773219160744905,0.3014500455466069,0.6591417911857089,2.5818038145035622,0.05185607756517388,0.7456676449948305,-1.0792182738329017,1.2991584660104505,0.20500234032769915,The Secret Garden
768,test,1158,1.5181347150259068,0.7825378154626547,1.5929627750415212,0.3327801794040781,0.3478883618230788,2.551250393619135,0.07482806001561457,0.7436245095915992,-1.2339972843728144,1.2153252391221987,0.32665539051005055,Wuthering Heights
1342,test,1272,1.2421383647798743,0.7415251704018309,1.3402227120575725,0.26500752734551725,0.5024942758423891,2.1690500375680397,0.09808434727769812,0.7189067834381002,-1.1036640004598215,1.291281787319379,0.26273913541667987,Pride and Prejudice
11,train,264,1.3977272727272727,0.7314334109888225,1.3624500707071772,0.27943817475376537,0.6419953572518018,2.1135946582648417,-0.035277202020095516,0.6874895261083457,-1.2566166930600629,1.0598771814545542,0.34355495123694807,Alice's Adventures in Wonderland
35,train,323,1.303405572755418,0.8624722436777055,1.3247230869914115,0.36531876677061326,0.39451089194759237,2.3685780300603145,0.021317514235993415,0.7897649594738951,-1.2703949005171256,1.3384175719550764,0.40242106322216964,The Time Machine
36,train,599,1.5509181969949917,0.897219778280095,1.5460047489754034,0.3178685256721561,0.7289157662842525,2.4147064394379725,-0.004913448019588153,0.8104604567647719,-1.4130362570361112,1.3361045957285038,0.4368853234808502,The War of the Worlds
43,train,255,1.5294117647058822,0.8933949607760406,1.537096743942297,0.2745792909111005,0.5655231680139271,2.3318420098719033,0.007684979236414429,0.8382778655496844,-1.3796908405802222,1.3803749365265405,0.3482127240183065,The Strange Case of Dr. Jekyll and Mr. Hyde
55,train,395,1.4075949367088607,0.8072099395799346,1.4338778658372995,0.2959158415611392,0.5122268473350078,2.231905921963838,0.026282929128438905,0.7541265319954125,-1.3339973605099071,1.2547844115505378,0.3567839222468911,The Wonderful Wizard of Oz
84,train,749,1.39652870493992,0.8563210148172716,1.4151090957374866,0.4082763970702661,0.5145193296914508,2.6558214590505833,0.018580390797566602,0.7651384988920621,-1.2466326357256212,1.2912570744342848,0.4498345061781346,"Frankenstein; Or, The Modern Prometheus"
103,train,632,1.365506329113924,0.8138127544632309,1.3476571275143077,0.3311556710033428,0.36774396569168055,2.340551106977151,-0.017849201599616404,0.7082612632028753,-1.24773693895869,1.1185761571956507,0.5015260778787408,Around the World in Eighty Days
120,train,685,1.654014598540146,0.7932207835563279,1.6316763565691812,0.30912931865253185,0.5399088336417657,2.4357893175847147,-0.022338241970964796,0.731902398791168,-1.3043172323115397,1.1563325203974748,0.3855485540856535,Treasure Island
175,train,854,1.6463700234192038,0.8432149271887668,1.5998429676811277,0.38906534696643186,0.35641438581323714,2.722051561579028,-0.0465270557380762,0.7279100564583593,-1.2359830585242828,1.0789347141843106,0.5068042758281393,The Phantom of the Opera
345,train,1612,1.4956575682382134,0.829425345544914,1.4989544178614649,0.3565645061372387,0.29926187298482687,2.6671634839063216,0.0032968496232514137,0.7413499895246674,-1.326135942395506,1.1710636002252175,0.4488428644775757,Dracula
521,train,1208,1.2276490066225165,0.8047852142292746,1.2372728741291905,0.3823881768916965,0.37554218591726785,2.5353205229865816,0.00962386750667395,0.7273549720547287,-1.1787772869603994,1.1747694630797478,0.4303217026252738,Robinson Crusoe
1184,train,4608,1.4798177083333333,0.7668991731445198,1.4824072286422576,0.30964993149623965,0.3368391204457226,2.5861457576394016,0.002589520308924285,0.7028876934983528,-1.242905706588728,1.0943314024594242,0.3999791364014313,The Count of Monte Cristo
1257,train,2293,1.565198430004361,0.7423113191318536,1.5426230824076947,0.3008695262569049,0.6015908415166824,2.5293786587693736,-0.022575347596666656,0.6826635687159112,-1.245822315831118,0.9966948897743336,0.3929433110741437,The Three Musketeers
1260,train,1852,1.3520518358531317,0.7976958594214327,1.3759914951206784,0.35800033332978715,0.42672386474952817,2.5706335506585622,0.02393965926754666,0.7170100240787932,-1.1813660366856822,1.191909443734709,0.43837732973343596,Jane Eyre
1513,train,258,1.8294573643410852,0.8682516604398861,1.8212928266568862,0.30595134698171156,1.0724002949298577,2.6085925728755974,-0.008164537684199273,0.798831348772981,-1.3556303336407753,1.1367073173408102,0.3940172222832747,Romeo and Juliet
1661,train,1044,1.4262452107279693,0.8415234777630914,1.4588212337356645,0.30443875500478335,0.5225131085350789,2.6427797291235056,0.03257602300769498,0.7696525415790321,-1.3379522275054396,1.3452243192955813,0.40688115078056986,The Adventures of Sherlock Holmes
