variant_a,variant_b,mae,exact_match,corr,n_samples
base,winsize_5,1.1886394525940853,0.36017247035665745,0.32503322582454686,21337
base,indep_winsize_5,1.0286357032385058,0.25214416272203216,0.34814345297938604,21337
winsize_5,indep_winsize_5,1.1945446876318133,0.21038571495524208,0.27252803828227656,21337
