variant,label,count,proportion,scope,book_id,processed_dir,title
winsize_5,0,40,0.1568627450980392,book,43.0,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde
winsize_5,1,35,0.13725490196078433,book,43.0,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde
winsize_5,2,50,0.19607843137254902,book,43.0,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde
winsize_5,3,110,0.43137254901960786,book,43.0,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde
winsize_5,4,20,0.0784313725490196,book,43.0,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde
indep_winsize_5,0,27,0.10588235294117647,book,43.0,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde
indep_winsize_5,1,107,0.4196078431372549,book,43.0,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde
indep_winsize_5,2,82,0.3215686274509804,book,43.0,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde
indep_winsize_5,3,37,0.1450980392156863,book,43.0,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde
indep_winsize_5,4,2,0.00784313725490196,book,43.0,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde
base,0,91,0.23037974683544304,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
base,1,49,0.1240506329113924,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
base,2,118,0.29873417721518986,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
base,3,133,0.3367088607594937,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
base,4,4,0.010126582278481013,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
winsize_5,0,10,0.02531645569620253,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
winsize_5,1,40,0.10126582278481013,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
winsize_5,2,140,0.35443037974683544,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
winsize_5,3,205,0.5189873417721519,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
winsize_5,4,0,0.0,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
indep_winsize_5,0,39,0.09873417721518987,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
indep_winsize_5,1,195,0.4936708860759494,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
indep_winsize_5,2,125,0.31645569620253167,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
indep_winsize_5,3,33,0.08354430379746836,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
indep_winsize_5,4,3,0.007594936708860759,book,55.0,wonderful_wizard_oz,The Wonderful Wizard of Oz
base,0,290,0.3871829105473965,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
base,1,78,0.1041388518024032,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
base,2,132,0.17623497997329773,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
base,3,225,0.30040053404539385,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
base,4,24,0.03204272363150868,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
