variant,split,n_samples,n_novels,mse,rmse,mae,r2,corr,ma_window,mae_ma
base,test,3706,4,1.4242189683825175,1.193406455648082,1.0409904950519853,0.13642881084511593,0.3798104340860933,5,0.4601437516674404
base,train,17631,16,1.4476238153535987,1.2031723963562324,1.0638713442120806,0.17338230742001592,0.4172721962917503,5,0.4385374953598589
indep_winsize_5,test,3706,4,0.5612628140106644,0.7491747553212563,0.6126898807235919,0.07549620589648476,0.30601711132062176,5,0.2700797709681404
indep_winsize_5,train,17631,16,0.5280953292622342,0.7267016783125206,0.5928899926035565,0.19313573826181474,0.4395567739133157,5,0.24433437265700503
winsize_5,test,3706,4,0.9790467034780889,0.9894678890586035,0.7683564770726202,0.1521354579023967,0.4114789944901655,5,0.6205727879276233
winsize_5,train,17631,16,0.8558199324863192,0.9251053629107979,0.7242764551551674,0.2823224535123342,0.5318945500169394,5,0.5695069430998323
