metric_key,value,source_file,source_row_filter,notes
variant::SW-5::test::rank_trend_primary,3,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=SW-5,split=test",
variant::SW-5::test::rank_raw_error,2,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=SW-5,split=test",
variant::SW-5::test::rank_corr,1,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=SW-5,split=test",
variant::CIW-5::train::rmse,0.7267016783125206,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::mae,0.5928899926035565,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::mae_ma5,0.244334372657005,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::r2,0.1931357382618147,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::corr,0.4395567739133157,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::rank_trend_primary,1,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::rank_raw_error,1,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=CIW-5,split=train",
variant::CIW-5::train::rank_corr,2,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=CIW-5,split=train",
variant::NC-1::train::rmse,1.2031723963562324,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::mae,1.0638713442120806,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::mae_ma5,0.4385374953598589,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::r2,0.1733823074200159,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::corr,0.4172721962917503,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::rank_trend_primary,2,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::rank_raw_error,3,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=NC-1,split=train",
variant::NC-1::train::rank_corr,3,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=NC-1,split=train",
variant::SW-5::train::rmse,0.925105362910798,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::mae,0.7242764551551674,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::mae_ma5,0.5695069430998323,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::r2,0.2823224535123342,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::corr,0.5318945500169394,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/model_global_metrics_by_variant.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::rank_trend_primary,3,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::rank_raw_error,2,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=SW-5,split=train",
variant::SW-5::train::rank_corr,1,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=SW-5,split=train",
variant::CIW-5::test::mae_drop_raw_to_ma5,0.3426101097554515,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"variant_code=CIW-5,split=test,mae-mae_ma5",
selected_variant_code,CIW-5,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv,"split=test,rank_trend_primary=1",Trend-fidelity-first criterion
teacher_pairwise::base__vs__winsize_5::mae,1.188639452594085,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=base,variant_b=winsize_5",
teacher_pairwise::base__vs__winsize_5::exact_match,0.3601724703566574,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=base,variant_b=winsize_5",
teacher_pairwise::base__vs__winsize_5::corr,0.3250332258245468,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=base,variant_b=winsize_5",
teacher_pairwise::base__vs__indep_winsize_5::mae,1.0286357032385058,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=base,variant_b=indep_winsize_5",
teacher_pairwise::base__vs__indep_winsize_5::exact_match,0.2521441627220321,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=base,variant_b=indep_winsize_5",
teacher_pairwise::base__vs__indep_winsize_5::corr,0.348143452979386,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=base,variant_b=indep_winsize_5",
teacher_pairwise::winsize_5__vs__indep_winsize_5::mae,1.194544687631813,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=winsize_5,variant_b=indep_winsize_5",
teacher_pairwise::winsize_5__vs__indep_winsize_5::exact_match,0.210385714955242,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=winsize_5,variant_b=indep_winsize_5",
teacher_pairwise::winsize_5__vs__indep_winsize_5::corr,0.2725280382822765,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,"variant_a=winsize_5,variant_b=indep_winsize_5",
cluster::feature::selected_method,kmeans,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=feature,method=kmeans,k=5",
cluster::feature::selected_k,5,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=feature,method=kmeans,k=5",
cluster::feature::silhouette,0.259789766423421,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=feature,method=kmeans,k=5",
cluster::feature::davies_bouldin,0.8875380398195549,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=feature,method=kmeans,k=5",
cluster::feature::calinski_harabasz,8.077047265314174,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=feature,method=kmeans,k=5",
cluster::feature::kmeans_stability_ari,0.892572279130657,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=feature,method=kmeans,k=5",
cluster::dtw::selected_k,2,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=dtw,method=average,k=2",
cluster::dtw::silhouette,0.0850311151873733,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_quality_by_method.csv,"branch=dtw,method=average,k=2",
cluster::agreement::ari,0.0593342981186685,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_method_agreement.csv,"row_type=metric,metric=ari",
cluster::agreement::nmi,0.2409870930941249,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_indep_clustering/tables/cluster_method_agreement.csv,"row_type=metric,metric=nmi",
ciw5::book::16::test::mae,0.6779932870456393,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=16,split=test",
ciw5::book::16::test::mae_ma5,0.3089185824560365,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=16,split=test",
ciw5::book::16::test::corr,0.2826212746260405,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=16,split=test",
ciw5::book::16::test::error_gap_raw_vs_ma,0.36907470458960284,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=16,split=test",
ciw5::book::113::test::mae,0.6110701025353301,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=113,split=test",
ciw5::book::113::test::mae_ma5,0.2717342023702476,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=113,split=test",
ciw5::book::113::test::corr,0.2050023403276991,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=113,split=test",
ciw5::book::113::test::error_gap_raw_vs_ma,0.3393359001650825,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=113,split=test",
ciw5::book::768::test::mae,0.6147159966603266,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=768,split=test",
ciw5::book::768::test::mae_ma5,0.2638392543639724,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=768,split=test",
ciw5::book::768::test::corr,0.3266553905100505,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=768,split=test",
ciw5::book::768::test::error_gap_raw_vs_ma,0.35087674229635424,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=768,split=test",
ciw5::book::1342::test::mae,0.5876897036867426,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=1342,split=test",
ciw5::book::1342::test::mae_ma5,0.260332617460382,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=1342,split=test",
ciw5::book::1342::test::corr,0.2627391354166798,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=1342,split=test",
ciw5::book::1342::test::error_gap_raw_vs_ma,0.32735708622636056,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=1342,split=test",
ciw5::book::11::train::mae,0.5521748055623356,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=11,split=train",
ciw5::book::11::train::mae_ma5,0.2162579571851025,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=11,split=train",
ciw5::book::11::train::corr,0.343554951236948,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=11,split=train",
ciw5::book::11::train::error_gap_raw_vs_ma,0.33591684837723307,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=11,split=train",
ciw5::book::35::train::mae,0.6358621309062261,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=35,split=train",
ciw5::book::35::train::mae_ma5,0.2765115187281537,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=35,split=train",
ciw5::book::35::train::corr,0.4024210632221696,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=35,split=train",
