book_id,title,processed_dir,T,mean_y,std_y,median_y,iqr_y,min_y,max_y,p10_y,p90_y,range_y,prop_label_0,prop_label_1,prop_label_2,prop_label_3,prop_label_4,entropy_labels,mean_abs_diff,std_diff,p95_abs_diff,jump_ge_2_rate,up_rate,down_rate,flat_rate,lag1_autocorr,sign_change_rate,corr_with_position,slope_position,mean_early,mean_mid,mean_late,mean_ma5,std_ma5,p95_ma5
11,Alice's Adventures in Wonderland,alice_s_adventures_wonderland,264,1.3977272727272727,0.7314334109888225,1.0,1.0,0.0,3.0,1.0,2.0,3.0,0.06818181818181818,0.5454545454545454,0.3068181818181818,0.07954545454545454,0.0,1.554642731685487,0.6577946768060836,0.9290335910928226,2.0,0.07984790874524715,0.30038022813688214,0.2661596958174905,0.43346007604562736,0.1903367509155832,0.7567567567567568,0.042640748604460835,0.10763293310463035,1.3409090909090908,1.4772727272727273,1.375,1.3979166666666665,0.3465572546722883,2.0
16,Peter Pan,peter_pan,471,1.4777070063694266,0.8490233224433953,1.0,1.0,0.0,4.0,1.0,3.0,4.0,0.09341825902335456,0.47558386411889597,0.2929936305732484,0.13588110403397027,0.0021231422505307855,1.7584816173488091,0.8191489361702128,1.0528561684117197,2.0,0.12340425531914893,0.3617021276595745,0.32340425531914896,0.3148936170212766,0.22999445530908766,0.7133956386292835,0.08522876525927832,0.25013494548202714,1.375796178343949,1.5031847133757963,1.5541401273885351,1.4786270346779902,0.4575294976012324,2.2
35,The Time Machine,time_machine,323,1.303405572755418,0.8624722436777055,1.0,1.0,0.0,4.0,0.0,2.0,4.0,0.15479876160990713,0.4891640866873065,0.2631578947368421,0.08359133126934984,0.009287925696594427,1.7901109511861844,0.7950310559006211,1.0245247006467209,2.0,0.09627329192546584,0.36335403726708076,0.3198757763975155,0.3167701863354037,0.2934189446256148,0.6575342465753424,0.07395540116762085,0.22027290448342884,1.2616822429906542,1.2777777777777777,1.3703703703703705,1.3035087719298246,0.49004686230363176,2.2
36,The War of the Worlds,war_worlds,599,1.5509181969949917,0.897219778280095,1.0,1.0,0.0,4.0,0.8000000000000043,3.0,4.0,0.1001669449081803,0.41903171953255425,0.31886477462437396,0.15358931552587646,0.008347245409015025,1.8569011504437691,0.8060200668896321,1.039353824725353,2.0,0.12374581939799331,0.35785953177257523,0.3177257525083612,0.32441471571906355,0.32833836512784786,0.6799007444168734,-0.11080247404208753,-0.3438063439065081,1.5678391959798994,1.78,1.305,1.5508347245409015,0.5245505347811129,2.4
43,The Strange Case of Dr. Jekyll and Mr. Hyde,strange_case_dr_jekyll,255,1.5294117647058822,0.8933949607760406,1.0,1.0,0.0,4.0,0.0,3.0,4.0,0.10588235294117647,0.4196078431372549,0.3215686274509804,0.1450980392156863,0.00784313725490196,1.8540084603479152,0.8661417322834646,1.083128037829643,2.0,0.12992125984251968,0.4015748031496063,0.3228346456692913,0.2755905511811024,0.26330906821830946,0.6775956284153005,0.04830088875513074,0.1488970588235278,1.4,1.8,1.388235294117647,1.5294117647058822,0.45208290922294636,2.2
55,The Wonderful Wizard of Oz,wonderful_wizard_oz,395,1.4075949367088607,0.8072099395799346,1.0,1.0,0.0,4.0,1.0,2.0,4.0,0.09873417721518987,0.4936708860759494,0.31645569620253167,0.08354430379746836,0.007594936708860759,1.710511307012427,0.700507614213198,0.9397582998243169,2.0,0.06598984771573604,0.3299492385786802,0.2918781725888325,0.37817258883248733,0.31238837898349175,0.7049180327868853,0.1889592078497184,0.527042577675489,1.1603053435114503,1.5757575757575757,1.4848484848484849,1.4070464135021097,0.43198296163128824,2.059999999999991
84,"Frankenstein; Or, The Modern Prometheus",frankenstein_modern_prometheus,749,1.39652870493992,0.8563210148172716,1.0,1.0,0.0,4.0,0.0,3.0,4.0,0.12817089452603472,0.45927903871829107,0.30707610146862485,0.09879839786381843,0.006675567423230975,1.796667867157098,0.7874331550802139,1.033527953605754,2.0,0.10561497326203209,0.3649732620320856,0.2994652406417112,0.3355614973262032,0.27122078241906833,0.6653225806451613,0.12567194130843864,0.3722937249666244,1.248995983935743,1.464,1.476,1.3965732087227414,0.45319921985441425,2.2
103,Around the World in Eighty Days,around_world_eighty_days,632,1.365506329113924,0.8138127544632309,1.0,1.0,0.0,4.0,0.0,2.0,4.0,0.12183544303797468,0.4825949367088608,0.30537974683544306,0.08860759493670886,0.0015822784810126582,1.7244111210271051,0.7179080824088748,0.95126774633654,2.0,0.08082408874801902,0.32805071315372425,0.30269413629160064,0.3692551505546751,0.3162805456915836,0.7355163727959698,0.15047066343633292,0.4235257064011032,1.2380952380952381,1.3933649289099526,1.4644549763033174,1.3660601265822785,0.4825598363742669,2.2
113,The Secret Garden,secret_garden,805,1.3254658385093168,0.7466096873403855,1.0,1.0,0.0,3.0,0.0,2.0,3.0,0.11304347826086956,0.5043478260869565,0.3267080745341615,0.055900621118012424,0.0,1.613460155419403,0.6965174129353234,0.9580732016894896,2.0,0.09079601990049752,0.3246268656716418,0.27114427860696516,0.40422885572139305,0.17564698642913396,0.702928870292887,0.09419534509504718,0.2433179723502278,1.1455223880597014,1.4850746268656716,1.345724907063197,1.3255279503105593,0.36010716631853223,2.0
120,Treasure Island,treasure_island,685,1.654014598540146,0.7932207835563279,2.0,1.0,0.0,4.0,1.0,3.0,4.0,0.04817518248175182,0.40145985401459855,0.4,0.14890510948905109,0.00145985401459854,1.6910297707465578,0.77046783625731,0.9933981919921923,2.0,0.09941520467836257,0.347953216374269,0.31871345029239767,0.3333333333333333,0.21405388335349684,0.7230769230769231,0.11050357430888988,0.3031984848162379,1.486842105263158,1.7543859649122806,1.720524017467249,1.654257907542579,0.39307483153162887,2.2
