branch,cluster,cluster_size,feature,mean_raw,median_raw,mean_z,delta_z_vs_corpus,abs_delta_z,rank_abs_delta,global_feature_rank
feature,2,6,prop_label_3,0.12208512129572059,0.11086807921589803,0.37983804748590244,0.37983804748590244,0.37983804748590244,16,10
feature,3,6,prop_label_3,0.11895024715464307,0.11733975094889434,0.3015814935853521,0.3015814935853521,0.3015814935853521,24,10
feature,4,1,prop_label_3,0.2054263565891473,0.2054263565891473,2.4603036669562597,2.4603036669562597,2.4603036669562597,8,10
feature,5,2,prop_label_3,0.06772303783173349,0.06772303783173349,-0.977214619797079,-0.977214619797079,0.977214619797079,15,10
feature,1,5,prop_label_1,0.507583819988821,0.49838012958963285,0.8746478607165413,0.8746478607165413,0.8746478607165413,8,11
feature,2,6,prop_label_1,0.4447434542559657,0.4569936661259481,-0.4813351283387763,-0.4813351283387763,0.4813351283387763,12,11
feature,3,6,prop_label_1,0.45405872932484864,0.4604824312365402,-0.2803281102467046,-0.2803281102467046,0.2803281102467046,25,11
feature,4,1,prop_label_1,0.36046511627906974,0.36046511627906974,-2.299911314358266,-2.299911314358266,2.299911314358266,9,11
feature,5,2,prop_label_1,0.524901185770751,0.524901185770751,1.2483257211442147,1.2483257211442147,1.2483257211442147,10,11
feature,1,5,median_y,1.0,1.0,-0.4999999999999999,-0.4999999999999999,0.4999999999999999,22,12
feature,2,6,median_y,1.5,1.5,0.75,0.75,0.75,7,12
feature,3,6,median_y,1.0,1.0,-0.49999999999999994,-0.49999999999999994,0.49999999999999994,18,12
feature,4,1,median_y,2.0,2.0,2.0,2.0,2.0,10,12
feature,5,2,median_y,1.0,1.0,-0.4999999999999999,-0.4999999999999999,0.4999999999999999,23,12
