branch,cluster,cluster_size,feature,mean_raw,median_raw,mean_z,delta_z_vs_corpus,abs_delta_z,rank_abs_delta,global_feature_rank
feature,1,5,prop_label_4,0.004222021073371237,0.003779697624190065,-0.220369297407774,-0.220369297407774,0.220369297407774,27,1
feature,2,6,prop_label_4,0.003332396843956109,0.003571733772308578,-0.39973642285993055,-0.39973642285993055,0.39973642285993055,14,1
feature,3,6,prop_label_4,0.00698997554721922,0.0077529862519720525,0.33770906977311227,0.33770906977311227,0.33770906977311227,20,1
feature,4,1,prop_label_4,0.023255813953488372,0.023255813953488372,3.617247307979477,3.617247307979477,3.617247307979477,1,1
feature,5,2,prop_label_4,0.0,0.0,-1.071618351209848,-1.071618351209848,1.071618351209848,14,1
feature,1,5,mean_late,1.420291764161264,1.4094292803970223,-0.5050134934744177,-0.5050134934744177,0.5050134934744177,21,2
feature,2,6,mean_late,1.6213685130226885,1.6298394097222222,0.6886091879089994,0.6886091879089994,0.6886091879089994,10,2
feature,3,6,mean_late,1.41840207642387,1.4024509803921568,-0.516230972157844,-0.516230972157844,0.516230972157844,16,2
feature,4,1,mean_late,2.046511627906977,2.046511627906977,3.2123244739046344,3.2123244739046344,3.2123244739046344,2,2
feature,5,2,mean_late,1.3603624535315983,1.3603624535315983,-0.8607631505197444,-0.8607631505197444,0.8607631505197444,18,2
feature,1,5,max_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,25,3
feature,2,6,max_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,20,3
feature,3,6,max_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,21,3
feature,4,1,max_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,28,3
feature,5,2,max_y,3.0,3.0,-3.0,-3.0,3.0,1,3
feature,1,5,range_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,26,4
feature,2,6,range_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,21,4
feature,3,6,range_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,22,4
feature,4,1,range_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,29,4
feature,5,2,range_y,3.0,3.0,-3.0,-3.0,3.0,2,4
feature,1,5,slope_position,0.38314323264561795,0.3900871740298616,0.6016207361308304,0.6016207361308304,0.6016207361308304,18,5
feature,2,6,slope_position,0.22624403978534322,0.22814175908283987,-0.1411800128654662,-0.1411800128654662,0.1411800128654662,28,5
feature,3,6,slope_position,0.1159792774049586,0.1845849816534783,-0.6632014878706814,-0.6632014878706814,0.6632014878706814,12,5
feature,4,1,slope_position,0.8012929873394996,0.8012929873394996,2.581248198305457,2.581248198305457,2.581248198305457,3,5
feature,5,2,slope_position,0.1754754527274291,0.1754754527274291,-0.3815314372713614,-0.3815314372713614,0.3815314372713614,25,5
feature,1,5,mean_y,1.3189880946156616,1.3520518358531317,-0.976001754901892,-0.976001754901892,0.976001754901892,4,6
feature,2,6,mean_y,1.5598655072601941,1.541666572515134,0.6965477121099516,0.6965477121099516,0.6965477121099516,9,6
feature,3,6,mean_y,1.4473694094156013,1.451976108548698,-0.0845769538567581,-0.0845769538567581,0.0845769538567581,29,6
feature,4,1,mean_y,1.8294573643410852,1.8294573643410852,2.5684779687537644,2.5684779687537644,2.5684779687537644,4,6
feature,5,2,mean_y,1.3615965556182947,1.3615965556182947,-0.6801468718817227,-0.6801468718817227,0.6801468718817227,21,6
feature,1,5,mean_ma5,1.3191103001532858,1.3523038156947447,-0.9768208746423038,-0.9768208746423038,0.9768208746423038,3,7
feature,2,6,mean_ma5,1.5600083315630675,1.5418291031677347,0.6979852841744528,0.6979852841744528,0.6979852841744528,8,7
feature,3,6,mean_ma5,1.447496202657313,1.4523243730222646,-0.08423782213396434,-0.08423782213396434,0.08423782213396434,30,7
feature,4,1,mean_ma5,1.8282299741602068,1.8282299741602068,2.5627546071976366,2.5627546071976366,2.5627546071976366,5,7
feature,5,2,mean_ma5,1.3617223084886128,1.3617223084886128,-0.6805675031145079,-0.6805675031145079,0.6805675031145079,20,7
feature,1,5,p95_ma5,2.0519999999999983,2.059999999999991,-0.8018421337072968,-0.8018421337072968,0.8018421337072968,12,8
feature,2,6,p95_ma5,2.233333333333333,2.2,0.3080869266916059,0.3080869266916059,0.3080869266916059,23,8
feature,3,6,p95_ma5,2.233333333333333,2.2,0.3080869266916059,0.3080869266916059,0.3080869266916059,23,8
feature,4,1,p95_ma5,2.6,2.6,2.552428776762894,2.552428776762894,2.552428776762894,6,8
feature,5,2,p95_ma5,2.0,2.0,-1.1201306142628509,-1.1201306142628509,1.1201306142628509,12,8
feature,1,5,corr_with_position,0.13898644663957865,0.14124341535530618,0.6630327982767772,0.6630327982767772,0.6630327982767772,16,9
feature,2,6,corr_with_position,0.08256297145256085,0.08407670065801448,-0.1276631395954247,-0.1276631395954247,0.1276631395954247,29,9
feature,3,6,corr_with_position,0.0398107980773403,0.061128144961375794,-0.7267749403299667,-0.7267749403299667,0.7267749403299667,10,9
feature,4,1,corr_with_position,0.26744742249882186,0.26744742249882186,2.463233361080346,2.463233361080346,2.463233361080346,7,9
feature,5,2,corr_with_position,0.068418046849754,0.068418046849754,-0.3258844364559429,-0.3258844364559429,0.3258844364559429,26,9
feature,1,5,prop_label_3,0.07005992723384244,0.07613390928725702,-0.918878334757928,-0.918878334757928,0.918878334757928,6,10
